data_type;address;label;value
Discrete Inputs;1;D/G#1 Over Speed;0
Discrete Inputs;2;D/G#1 Engine Start Failure;0
Discrete Inputs;3;D/G#1 Turbo-charger gas outlet temp switch (2nd);0
Discrete Inputs;4;D/G#1 Heavy fault of oil mist detector ;0
Discrete Inputs;5;D/G#1 L.O press.switch for engine (2nd);0
Discrete Inputs;6;D/G#1 Jacket water thermal switch (2nd);0
Discrete Inputs;7;D/G#1 L.O press.switch for turbo-charger(2nd);0
Discrete Inputs;8;D/G#1 Jacket water press.switch (2nd);0
Discrete Inputs;12;D/G#1 Jacket water flow relay;0
Discrete Inputs;18;D/G#1 Light fault of oil mist detector;0
Discrete Inputs;19;D/G#1 Light fault of oil mist detector system failure;0
Discrete Inputs;20;D/G#1 LO press.switch for engine(1st);0
Discrete Inputs;21;D/G#1 LO press.switch for priming;0
Discrete Inputs;22;D/G#1 Cooler water press switch;0
Discrete Inputs;23;D/G#1 L.O. press switch for turbo-charger (1st);0
Discrete Inputs;24;D/G#1 Jacket water thermal switch (1st);0
Discrete Inputs;25;D/G#1 Cooler water thermal switch;0
Discrete Inputs;26;D/G#1 L.O. thermal switch;0
Discrete Inputs;27;D/G#1 L.O. sump tank level switch;0
Discrete Inputs;28;D/G#1 Jacket water press switch (1st);0
Discrete Inputs;29;D/G#1 L.O. filter differential press switch;0
Discrete Inputs;31;D/G#1 F.O leak tank level switch;0
Discrete Inputs;32;D/G#1 Cooler water flow relay;0
Discrete Inputs;33;D/G#1 Level switch for C.W. expansion tank;0
Discrete Inputs;34;D/G#1 Level switch for C.W. expansion tank;0
Discrete Inputs;35;D/G#1 Level switch for J.W. expansion tank;0
Discrete Inputs;36;D/G#1 Level switch for J.W. expansion tank;0
Discrete Inputs;37;D/G#1 Level switch for DO service tank level high;0
Discrete Inputs;38;D/G#1 Level switch for DO service tank level low;0
Discrete Inputs;39;D/G#1 F.O press.switch;0
Discrete Inputs;45;D/G#1 Over Speed (mechanical side);0
Discrete Inputs;46;D/G#1 Thermal switch for alternator beaing(Fly-wheel side);0
Discrete Inputs;47;"D/G#1 Thermal switch for alternator beaing
(Anti-Fly-wheel side)";0
Discrete Inputs;48;D/G#1 RATED SPEED;0
Discrete Inputs;49;D/G#1 LOW SPEED;0
Discrete Inputs;50;D/G#1 STARTING SOLENOID VALVE;0
Discrete Inputs;51;D/G#1 FUEL SHUT DOWN DEVICE;0
Discrete Inputs;52;D/G#1 FUEL CONTROL PISTON MAGNETIC VALVE;0
Discrete Inputs;53;D/G#1 FUEL OIL CUT PISTON MAGNETIC VALVE;0
Discrete Inputs;54;D/G#1 GOVERNOR HANDLE SWITCH;0
Discrete Inputs;55;D/G#1 TURNING HANDLE POSITION SWITCH(ON AT TURNING DEVICE OUT);0
Discrete Inputs;56;D/G#1 TURBO-CHARGER GAS OUTLET TEMP. SWITCH (1st);0
Discrete Inputs;57;D/G#1 Limit switch for change over valve;0
Discrete Inputs;58;D/G#1 Limit switch for change over valve;0
Discrete Inputs;59;D/G#1 Limit switch for change over valve;0
Discrete Inputs;60;D/G#1 Limit switch for change over valve;0
Discrete Inputs;65;D/G#1 VCB Status: Close;0
Discrete Inputs;66;D/G#1 VCB Status: Open;0
Discrete Inputs;67;D/G#1 VCB Status: Fault (Non-close)/trip;0
